,Accuracy,F1-Score,Precision,Recall
0,0.832,0.8183089629324922,0.8165651059906903,0.832
1,0.85,0.8363728084723541,0.8406810757347576,0.85
2,0.848,0.8335576636887372,0.8303844616856709,0.848
3,0.846,0.8299670635791049,0.8333650287223717,0.846
4,0.834,0.8212402693779528,0.8178944255099593,0.834
5,0.86,0.8499662289472611,0.847915328326496,0.86
6,0.844,0.831497471117064,0.8344474398887249,0.844
7,0.848,0.8335000212787627,0.8317225076921079,0.848
8,0.838,0.8195300781294589,0.8147635105286128,0.838
9,0.832,0.8135552170357424,0.8069108730931516,0.832
10,0.824,0.8049578838062359,0.8043862132199716,0.824
11,0.84,0.829159516095365,0.8323070093827255,0.84
12,0.842,0.8250480256770494,0.8242959390862944,0.842
13,0.834,0.8165573103980605,0.8194672840458918,0.834
14,0.836,0.8236347507167189,0.8274210889197834,0.836
15,0.838,0.8252943135759261,0.817802622024803,0.838
16,0.844,0.8233060851544425,0.8218932692563347,0.844
17,0.838,0.8233529914529915,0.8222122491588141,0.838
18,0.828,0.8127058869368907,0.8202905039171519,0.828
19,0.83,0.8101297763268295,0.816898428336852,0.83
20,0.824,0.8070812352354837,0.8087717462347258,0.824
21,0.842,0.8276761151270581,0.8214744252873564,0.842
22,0.824,0.805788099485133,0.8025449043339407,0.824
23,0.84,0.8250155862324062,0.8330280857077214,0.84
24,0.828,0.8124654720486812,0.8179330012461148,0.828
25,0.83,0.8169055535664559,0.8174198295143176,0.83
26,0.838,0.8227592434543756,0.8164899645156745,0.838
27,0.844,0.8276856635765664,0.8307389057006823,0.844
28,0.832,0.8154574424817262,0.8144858782744007,0.832
29,0.848,0.8325444677763064,0.8315996255266032,0.848
